gpu_memory_gb,batch_size,model_params_millions,queue_depth,job_completion_min
80,256,7000,20,155.30
64,256,5500,18,132.40
72,128,6500,19,145.80
80,128,7000,17,140.25
48,256,4000,16,108.50
64,64,5000,15,115.70
72,256,6000,18,138.90
80,256,6800,20,152.10
56,128,4500,14,105.30
64,256,5200,16,122.45
80,64,7000,19,148.60
72,128,5800,17,130.20
48,256,3500,15,98.70
64,128,4800,16,112.80
56,256,4200,18,110.40
80,128,6500,20,142.90
72,256,5500,17,128.50
64,64,4000,14,102.30
80,256,6200,19,135.70
56,128,3800,15,95.40
